link,title,tags,score
"3150","Неточности в поясняющем комментарии при защите вопроса","<дефект><поддержка><статус-запланировано><локализация><страница-учётной-записи>","6"
"4215","Как пользователь сам смог восстановить удаленный ответ?","<дефект>","6"
"3926","Голос за незакрытие вопроса","<обсуждение><поддержка><закрытие-вопросов>","6"
"3995","Где бы почитать правила","<поддержка><правила>","6"
"4233","Информация по поводу блокировки","<обсуждение>","5"
"4258","Описание знака ""Электорат""","<обсуждение><статус-завершено><локализация><знаки>","5"
"4203","Совпадающие даты во временной шкале","<дефект><предложение><статус-завершено><локализация><временная-шкала>","5"
"4577","Способы обхода неоднозначных ограничений движка на Stack Overflow","<обсуждение><поддержка>","5"
"3681","Целевая аудитория сайтов Stack Exchange","<дефект><статус-завершено><локализация><мобильное-приложение><целевая-аудитория>","5"
"3154","Оформление текста в StackOverlow","<поддержка><предложение><статус-отклонено><форматирование><markdown>","5"
"3000","Соответствие тематике сайта вопросов о регулярных выражениях, необходимых автору не для выполнения программистских задач","<обсуждение><тематика>","5"
"2733","Ограничения на предложения и голосования по синонимам меток","<обсуждение><метки><синонимы-меток>","5"
"3459","Слишком быстро принимают ответы","<обсуждение><принятые-ответы>","5"
"2461","Выбрать главную метку: redirect/редирект/перенаправление/?","<обсуждение><синонимы-меток>","5"
"5723","Перевод сообщения в профиле о постах на других сайтах SO - ""Мы уважаем сосредоточенность на одной тематике""","<обсуждение><локализация><профиль-участника>","5"
"5947","Удаляются ли метки с ресурса?","<обсуждение><метки><удаление-метки>","5"
"6805","Что делать с вопросами про учебные материалы?","<обсуждение><предложение><учебные-материалы>","5"
"7446","Зачем нужен StackOverflow?","<обсуждение><поддержка>","5"
"7238","Автоматическое удаление комментариев по тревоге «более не является необходимым»","<обсуждение><модерация><комментарии>","5"
"7404","Нет перевода при отправке ответа без регистрации","<дефект><статус-завершено><локализация>","5"
"6651","Способы обхода неоднозначных ограничений движка на Stack Overflow","<обсуждение><поддержка>","4"
"7172","Синонимизировать `mercurial` и `hg`","<предложение><статус-завершено><синонимы-меток>","4"
"7207","Посты или комментарии, призывающие перестать пользоваться данным сайтом","<обсуждение><вопросы><комментарии><ответы><возможный-вред>","4"
"5796","Что нужно для добавления информации о метке?","<поддержка><метки><описание-метки>","4"
"5693","FAQ-вопрос с наиболее востребованными правилами правописания на Мете","<обсуждение>","4"
"5052","Шуточные вопросы","<обсуждение><статус-завершено>","4"
"2513","Корректно ли считать shell языком по умолчанию для меток [linux], [unix]?","<обсуждение><метки>","4"
"3410","Метки ""шаблоны"" и ""template""","<обсуждение><предложение><статус-завершено><метки><синонимы-меток>","4"
"3587","Как ответить на свой вопрос?","<поддержка>","4"
"3602","Причины закрытия сломаны. Давайте их починим!","<обсуждение><закрытие-вопросов><причины-закрытия>","4"
"3945","Бан за ""Вы пробовали искать решение самостоятельно?""","<обсуждение>","4"
"4056","Сообщения низкого количества","<предложение><очередь-проверок>","3"
"3679","Фраза о статистике редактора формируется без учёта пола","<дефект><локализация>","3"
"2725","Ответам тоже нужны метки","<обсуждение><предложение><метки><ответы>","3"
"4872","Создание собственных меток","<обсуждение><метки><добавление-меток>","3"
"6781","Учётки-организации это норма?","<поддержка>","3"
"6053","Насколько мы с вами 'be nice'?","<обсуждение><новые-участники>","3"
"6561","""Неотвеченные вопросы без ответов"" в заголовке","<дефект><статус-так-задумано><локализация><неотвеченные-вопросы>","3"
"6465","2 вопроса касательно ""выбрать лучший ответ""","<обсуждение><принятые-ответы><самоответы>","3"
"7352","Апелляция к отклонению правки","<поддержка><отклонённые-правки>","3"
"5956","Вы сломали мой StackOverflow, часть 3: “текст задачи” — это не отсутствие кода!","<обсуждение><причины-закрытия><нытьё>","2"
"4629","Правка утверждена/отклонена","<обсуждение><локализация><предлагаемые-правки>","2"
"5154","Знак вопроса и код","<обсуждение><форматирование><стиль>","2"
"5169","Объединить метки [лямбда-выражение] и [lambda]","<обсуждение><предложение><метки><синонимы-меток>","2"
"5316","Кто модерирует ассоциации и как это будет происходить в будущем?","<обсуждение><поддержка><ассоциация-вопросов>","2"
"2867","Знак «Просветитель»","<поддержка><знаки>","2"
"1023","""Позвольте нам продолжить обсуждение в чате""","<обсуждение><статус-завершено><локализация><чат>","2"
"3670","Сборник фольклора Stack Overflow на русском","<обсуждение><предложение><вопросы>","2"
"3845","Модератор удаляет описание","<обсуждение><дефект><статус-завершено><локализация>","2"
"4034","Где предлагать синонимы меток?","<поддержка><метки><синонимы-меток><нытьё>","2"
"4044","Почему дух перестал создавать пустые описания?","<обсуждение><дух-сообщества><описание-метки>","2"
"3729","Баг с вкладкой конкурсные вопросы","<дефект>","1"
"3660","Фраза о статистике редактора формируется без учёта пола","<дефект><локализация>","1"
"1072","перевод стандартного ответа ""possible duplicate of""","<обсуждение><статус-завершено><локализация><закрытие-вопросов><причины-закрытия>","1"
"2299","Изменение вопроса - подмена или дополнение?","<обсуждение>","1"
"2662","Уточнить названия режимов просмотра в истории редактирования ответов","<предложение><статус-завершено><локализация>","1"
"4866","Перевод для Top Askers/Answerers","<обсуждение><статус-завершено><локализация><метки><описание-метки>","1"
"6888","Улучшить редактор вопросов и ответов","<предложение>","1"
"6980","Ответ или не ответ?","<обсуждение>","1"
"7092","Переформулировать тревогу о вопросе не на русском языке","<предложение><тревоги>","1"
"5123","Уведомление или пояснение?","<дефект><статус-завершено><локализация><конкурс>","0"
"2661","Уточнить названия режимов просмотра в истории редактирования ответов","<предложение><статус-завершено><локализация>","0"
"7291","Синонимизировать [dragndrop] и [draganddrop]","<обсуждение><предложение><статус-завершено><синонимы-меток>","-1"
"6649","Не согласен с синонимизацией меток delphi и object-pascal","<обсуждение><предложение><метки><синонимы-меток>","-2"
"6194","Причина ""Сообщение содержит лишь текст задачи"" применяется не так, как задумывалась изначально","<обсуждение><причины-закрытия>","-2"
"4935","Объединить синонимичные метки {“web”, “веб”, ...}","<предложение><статус-завершено><метки><синонимы-меток>","-2"
"3575","Причины закрытия сломаны. Давайте их починим!","<обсуждение><закрытие-вопросов><причины-закрытия>","-2"
